threshold,precision,recall,f1
0.0033049942,0.31151832460732987,1.0,0.4750499001996008
0.0033098715,0.31179039301310046,1.0,0.47536617842876167
0.0033144478,0.3120629370629371,1.0,0.4756828780812792
0.003318325,0.3123359580052493,1.0,0.476
0.0033313865,0.3126094570928196,1.0,0.47631754503002
0.0033406038,0.3128834355828221,1.0,0.47663551401869164
0.0033539026,0.3131578947368421,1.0,0.47695390781563124
0.0033604025,0.31343283582089554,1.0,0.4772727272727273
0.003370081,0.31370826010544817,1.0,0.47759197324414715
0.0033735232,0.31398416886543534,1.0,0.47791164658634533
0.003376938,0.3142605633802817,1.0,0.47823174815807096
0.0033889394,0.3145374449339207,1.0,0.4785522788203754
0.0034038385,0.3148148148148148,1.0,0.4788732394366197
0.003418062,0.31509267431597526,1.0,0.4791946308724832
0.0034261798,0.31537102473498235,1.0,0.4795164539959705
0.0034296904,0.3156498673740053,1.0,0.4798387096774193
0.0034298971,0.315929203539823,1.0,0.48016139878950914
0.0034424735,0.31620903454384414,1.0,0.48048452220726784
0.0034456926,0.31648936170212766,1.0,0.48080808080808085
0.003446268,0.3167701863354037,1.0,0.48113207547169806
0.0034791846,0.31705150976909413,1.0,0.4814565070802427
0.003511565,0.31733333333333336,1.0,0.4817813765182186
0.0035659552,0.31761565836298933,1.0,0.48210668467251855
0.0035712149,0.3178984861976848,1.0,0.48243243243243245
0.0036056857,0.3181818181818182,1.0,0.4827586206896552
0.0036455141,0.3184656556645852,1.0,0.483085250338295
0.0036991355,0.31875,1.0,0.48341232227488146
0.00370099,0.3190348525469169,1.0,0.48373983739837395
0.0037023511,0.31932021466905186,1.0,0.48406779661016947
0.0037490914,0.3196060877350045,1.0,0.4843962008141113
0.003758455,0.31989247311827956,1.0,0.484725050916497
0.0037798048,0.3201793721973094,1.0,0.485054347826087
0.0037810006,0.32046678635547576,1.0,0.48538409245411285
0.00380566,0.32075471698113206,1.0,0.4857142857142857
0.0038406735,0.3210431654676259,1.0,0.4860449285228047
0.0038503215,0.3213321332133213,1.0,0.48637602179836514
0.0038574517,0.3216216216216216,1.0,0.4867075664621677
0.003872502,0.3219116321009919,1.0,0.48703956343792637
0.0039053836,0.322202166064982,1.0,0.4873720136518771
0.0039392016,0.3224932249322493,1.0,0.4877049180327868
0.0039575063,0.3227848101265823,1.0,0.4880382775119617
0.003983808,0.3230769230769231,1.0,0.48837209302325585
0.003995148,0.3233695652173913,1.0,0.48870636550308005
0.004000958,0.3236627379873073,1.0,0.4890410958904109
0.004005293,0.323956442831216,1.0,0.4893762851267992
0.0040482194,0.3242506811989101,1.0,0.4897119341563786
0.004057464,0.3245454545454545,1.0,0.4900480439258751
0.004071228,0.3248407643312102,1.0,0.49038461538461536
0.004124991,0.3251366120218579,1.0,0.490721649484536
0.0042414158,0.325432999088423,1.0,0.49105914718019256
0.004262062,0.32572992700729925,1.0,0.491397109428768
0.004301046,0.32602739726027397,1.0,0.49173553719008267
0.004334133,0.3263254113345521,1.0,0.49207443142660234
0.0043356847,0.3266239707227813,1.0,0.49241379310344824
0.004358654,0.3269230769230769,1.0,0.4927536231884058
0.0043847943,0.32722273143904673,1.0,0.4930939226519337
0.0044248626,0.3275229357798165,1.0,0.4934346924671735
0.004427474,0.3278236914600551,1.0,0.49377593360995853
0.0044713826,0.328125,1.0,0.49411764705882355
0.004479949,0.32842686292548295,1.0,0.49445983379501385
0.0045045656,0.3287292817679558,1.0,0.49480249480249483
